ts_ns,symbol,venue,level,side,price,price_ticks,size,num_orders
1748872800000000000,AAPL,XNAS,1,1,1.0014221668243408,100,3.0,1
1748872800000000000,AAPL,XNAS,1,-1,1.0023013353347778,100,226.0,1
1748872800000000000,AAPL,XNAS,2,1,1.0013704299926758,100,2.0,1
1748872800000000000,AAPL,XNAS,2,-1,1.0023530721664429,100,100.0,1
1748872801000000000,AAPL,XNAS,1,1,1.0014221668243408,100,3.0,1
1748872801000000000,AAPL,XNAS,1,-1,1.0023013353347778,100,100.0,1
1748872801000000000,AAPL,XNAS,2,1,1.0013704299926758,100,2.0,1
1748872801000000000,AAPL,XNAS,2,-1,1.0023530721664429,100,100.0,1
1748872805000000000,AAPL,XNAS,1,1,1.0014221668243408,100,3.0,1
1748872805000000000,AAPL,XNAS,1,-1,1.0023013353347778,100,100.0,1
1748872805000000000,AAPL,XNAS,2,1,1.0013704299926758,100,2.0,1
1748872805000000000,AAPL,XNAS,2,-1,1.002404808998108,100,100.0,1
1748872806000000000,AAPL,XNAS,1,1,1.0014221668243408,100,3.0,1
1748872806000000000,AAPL,XNAS,1,-1,1.0023013353347778,100,126.0,1
1748872806000000000,AAPL,XNAS,2,1,1.0013704299926758,100,2.0,1
1748872806000000000,AAPL,XNAS,2,-1,1.002404808998108,100,100.0,1
1748872807000000000,AAPL,XNAS,1,1,1.0014221668243408,100,3.0,1
1748872807000000000,AAPL,XNAS,1,-1,1.0023013353347778,100,126.0,1
1748872807000000000,AAPL,XNAS,2,1,1.0013704299926758,100,2.0,1
1748872807000000000,AAPL,XNAS,2,-1,1.002404808998108,100,100.0,1
1748872811000000000,AAPL,XNAS,1,1,1.0014221668243408,100,3.0,1
1748872811000000000,AAPL,XNAS,1,-1,1.0023013353347778,100,100.0,1
1748872811000000000,AAPL,XNAS,2,1,1.0013704299926758,100,2.0,1
1748872811000000000,AAPL,XNAS,2,-1,1.002404808998108,100,100.0,1
1748872812000000000,AAPL,XNAS,1,1,1.0014221668243408,100,3.0,1
1748872812000000000,AAPL,XNAS,1,-1,1.0023013353347778,100,126.0,1
